source,native,name,p_value,significant,intersection_size,term_size,query_size,effective_domain_size,precision,recall,intersections
GO:BP,GO:0071479,cellular response to ionizing radiation,1.1251507180209587e-21,true,10,70,11,20972,0.9090909090909091,0.14285714285714285,"IDA,IMP,IEA;IDA;IDA;;IEA;IMP;IMP;IDA,IMP,IEA;IMP,IEA;IMP;IDA"
GO:BP,GO:0042770,signal transduction in response to DNA damage,1.6589416220018213e-20,true,11,192,11,20972,1,0.057291666666666664,"IDA,IMP,IEA;IDA,IMP,IBA,IEA;IDA,IMP,IBA;IDA,IMP,IBA,IEA;IDA,IMP,IBA,TAS,IEA;IMP,IBA,NAS;NAS;NAS;IDA,IMP;IMP;IDA,IMP"
GO:BP,GO:0010212,response to ionizing radiation,3.7126397122310702e-19,true,10,135,11,20972,0.9090909090909091,0.07407407407407407,"IDA,IMP,IEA;IDA,IEA;IDA;;IEA;IMP;IMP,IEA;IDA,IMP,IEA;IMP,IEA;IMP;IDA"
GO:BP,GO:0104004,cellular response to environmental stimulus,3.0205969370071543e-18,true,11,333,11,20972,1,0.03303303303303303,"IDA,IMP,IEA;IDA;IDA,IMP;IEP;IEA;IMP;IMP;IDA,IMP,IEA;IMP,ISS,IEA;IMP,IEP;IDA"
GO:BP,GO:0071478,cellular response to radiation,3.0205969370071543e-18,true,10,177,11,20972,0.9090909090909091,0.05649717514124294,"IDA,IMP,IEA;IDA;IDA,IMP;;IEA;IMP;IMP;IDA,IMP,IEA;IMP,ISS,IEA;IMP;IDA"
GO:BP,GO:0071214,cellular response to abiotic stimulus,3.0205969370071543e-18,true,11,333,11,20972,1,0.03303303303303303,"IDA,IMP,IEA;IDA;IDA,IMP;IEP;IEA;IMP;IMP;IDA,IMP,IEA;IMP,ISS,IEA;IMP,IEP;IDA"
GO:BP,GO:0010332,response to gamma radiation,1.588938913964917e-17,true,8,50,11,20972,0.7272727272727273,0.16,"IDA,IMP,IEA;IDA;IDA;;IEA;;IEA;IEA;IEA;;IDA"
GO:BP,GO:0000077,DNA damage checkpoint signaling,2.5961663648522267e-17,true,9,115,11,20972,0.8181818181818182,0.0782608695652174,"IMP,IEA;IDA,IMP,IBA,IEA;IDA,IBA;IDA,IMP,IBA,IEA;IMP,IBA,TAS,IEA;IMP,IBA,NAS;NAS;NAS;IDA,IMP;;"
GO:BP,GO:0031570,DNA integrity checkpoint signaling,4.652860133303461e-17,true,9,124,11,20972,0.8181818181818182,0.07258064516129033,"IMP,IEA;IDA,IMP,IBA,IEA;IDA,IBA;IDA,IMP,IBA,IEA;IMP,IBA,TAS,IEA;IMP,IBA,NAS;NAS;NAS;IDA,IMP;;"
GO:BP,GO:0071480,cellular response to gamma radiation,7.158170082376059e-17,true,7,26,11,20972,0.6363636363636364,0.2692307692307692,"IDA,IEA;IDA;IDA;;IEA;;;IEA;IEA;;IDA"
