record_group,source_accession,file_accession,file_index,file_name,file_category,format,upstream_path_or_location,location_protocol,size_bytes,checksum,checksum_algorithm,page
ENA_generated_FASTQ,SRR077868,,1,,archive-generated FASTQ,,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR077/SRR077868/SRR077868.fastq.gz,ftp,462508712,a7ba883364d6eb9996156cb506e3d70f,MD5,
PRIDE_file_record,PXD000001,5bda360133398f66021c8889e01dce921cb51300c7269e1f2b0f20368ab20af6,,PRIDE_Exp_Complete_Ac_22134.pride.mztab.gz,OTHER,,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/generated/PRIDE_Exp_Complete_Ac_22134.pride.mztab.gz,FTP Protocol,497985,,,0
PRIDE_file_record,PXD000001,5bda360133398f66021c8889e01dce921cb51300c7269e1f2b0f20368ab20af6,,PRIDE_Exp_Complete_Ac_22134.pride.mztab.gz,OTHER,,prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2012/03/PXD000001/generated/PRIDE_Exp_Complete_Ac_22134.pride.mztab.gz,Aspera Protocol,497985,,,0
PRIDE_file_record,PXD000001,ca2e3dea18950a328b7dc8303911961267a2c19058e67bfe49ab0d6784c3f62b,,PRIDE_Exp_Complete_Ac_22134.pride.mgf.gz,PEAK,,prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2012/03/PXD000001/generated/PRIDE_Exp_Complete_Ac_22134.pride.mgf.gz,Aspera Protocol,16448103,,,0
PRIDE_file_record,PXD000001,ca2e3dea18950a328b7dc8303911961267a2c19058e67bfe49ab0d6784c3f62b,,PRIDE_Exp_Complete_Ac_22134.pride.mgf.gz,PEAK,,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/generated/PRIDE_Exp_Complete_Ac_22134.pride.mgf.gz,FTP Protocol,16448103,,,0
PRIDE_file_record,PXD000001,8ce43227bda837e3cad6c4fa1b11c4094291c48d76ca469c66e0a4e1efebd7e7,,TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.mzXML,PEAK,,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.mzXML,FTP Protocol,243031280,,,0
PRIDE_file_record,PXD000001,8ce43227bda837e3cad6c4fa1b11c4094291c48d76ca469c66e0a4e1efebd7e7,,TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.mzXML,PEAK,,prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.mzXML,Aspera Protocol,243031280,,,0
PRIDE_file_record,PXD000001,34476b308bb9dab10edab047891e2ef5ded65f458ba5c24022cfab3e1f757e90,,erwinia_carotovora.fasta,OTHER,,ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2012/03/PXD000001/erwinia_carotovora.fasta,FTP Protocol,1657668,,,0
PRIDE_file_record,PXD000001,34476b308bb9dab10edab047891e2ef5ded65f458ba5c24022cfab3e1f757e90,,erwinia_carotovora.fasta,OTHER,,prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2012/03/PXD000001/erwinia_carotovora.fasta,Aspera Protocol,1657668,,,0
PRIDE_file_record,PXD000001,ffdea08e7981243dbf92b1cc6076edc8f481ba3e6db0d1e0ad641c8faa544b90,,TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw,RAW,,prd_ascp@fasp.ebi.ac.uk:pride/data/archive/2012/03/PXD000001/TMT_Erwinia_1uLSike_Top10HCD_isol2_45stepped_60min_01.raw,Aspera Protocol,220475548,,,0
